id,source,original_text,emotional_tone,spatial_atmosphere,material_keywords,colour_palette,form_rules,design_prompt
0,api_design,"Title: Urban design. Author: Cliff Moughtin, J C Moughtin. Subjects: .",innovative,dynamic,"concrete, glass, steel","grey, blue, green",functional | modular | open,Create a vibrant urban space that encourages community interaction and sustainable living.
1,api_design,Title: Wuthering Heights. Author: Emily Brontë. Subjects: .,"dark, passionate, tumultuous","rugged, isolated, stormy","wood, stone, fabric","grey, green, black",asymmetrical | organic | textured,Create a design inspired by the contrasting emotions and landscapes of Wuthering Heights.
2,api_design,Title: Hans Andersen's Fairy Tales. Author: Hans Christian Andersen. Subjects: .,whimsical,enchanted,"paper, ink, illustration","pastel, gold, blue",storybook layout | ornate borders | illustrative sections,Create a whimsical book cover for Hans Andersen's Fairy Tales that captures the enchanted atmosphere of the stories.
3,api_design,Title: Alice's Adventures in Wonderland. Author: Lewis Carroll. Subjects: .,whimsical,surreal,"paper, fabric, wood","vibrant, pastel, earthy",organic shapes | asymmetry | layering,"Create a whimsical design inspired by Alice's Adventures in Wonderland, incorporating surreal spatial elements and a vibrant colour palette."
4,api_design,"Title: The Canterbury Tales. Author: Geoffrey Chaucer, John E. Cunningham. Subjects: .",reflective,medieval,"parchment, ink, quill","earth tones, gold, deep red",narrative structure | character development | allegorical elements,Create a book cover that reflects the medieval setting and narrative depth of The Canterbury Tales
5,api_design,Title: The Great Gatsby. Author: F. Scott Fitzgerald. Subjects: .,nostalgic,opulent,"glass, gold, velvet","green, gold, white",symmetrical | ornate | elegant,"Create a design that captures the essence of the Jazz Age, emphasizing luxury and excess"
6,api_design,Title: The Picture of Dorian Gray. Author: Oscar Wilde. Subjects: .,tragic,opulent,"canvas, marble, velvet","gold, deep red, black",symmetrical | ornate | contrasting,Create a visual representation that captures the themes of beauty and moral decay as depicted in The Picture of Dorian Gray.
7,api_design,Title: The Sea-Wolf. Author: Jack London. Subjects: .,adventurous,oceanic,"wood, canvas, metal","blue, gray, white",organic shapes | asymmetrical balance | dynamic lines,"Create a design inspired by the adventurous spirit of the sea, focusing on oceanic elements and the rugged materials associated with maritime life."
8,api_design,Title: Urban design. Author: Cliff Moughtin. Subjects: .,inspirational,dynamic,"concrete, glass, steel","gray, blue, green",functional | open | flexible,Create a vibrant urban space that fosters community interaction and sustainability.
9,api_design,Title: Urban Design Process 0292. Author: Hamid Shirvani. Subjects: .,innovative,dynamic,"concrete, glass, steel","grey, blue, green",minimalist | functional | sustainable,Create an urban space that fosters community interaction while incorporating sustainable materials.
10,api_design,"Title: A New theory of urban design. Author: Christopher Alexander, Hajo Nais. Subjects: .",innovative,dynamic,"concrete, glass, wood","neutral, green, blue",asymmetrical | open | interconnected,Explore new approaches to urban spaces that foster community and connectivity.
11,api_design,Title: Sustainable Urbanism. Author: Douglas Farr. Subjects: .,inspirational,open and green,"recycled materials, natural elements, sustainable resources","green, blue, brown",organic shapes | modular design | community spaces,Create a design that promotes sustainability in urban environments
12,api_design,Title: [Urban design. Author: Lawrence Diamond. Subjects: .,innovative,dynamic,"concrete, glass, steel","gray, blue, green",geometric shapes | open spaces | functional layouts,Create a modern urban space that promotes community engagement and sustainability.
13,api_design,Title: Urban design. Author: Jon Lang. Subjects: .,innovative,dynamic,"concrete, glass, steel","grey, blue, green",functional | modular | sustainable,Create a vibrant urban space that encourages community interaction and sustainability.
14,api_design,Title: Companion to Urban design. Author: Tridib Banerjee. Subjects: .,informative,contemporary urban environment,"concrete, glass, steel","gray, blue, green",functional | minimalist | integrated,Create an urban space that enhances community interaction and accessibility.
15,api_design,Title: Urban design. Author: . Subjects: .,innovative,dynamic,"concrete, glass, steel","gray, blue, green",geometric | open | functional,Create a sustainable urban space that fosters community interaction.
16,api_design,Title: Urban design. Author: Peter C. Pran. Subjects: .,innovative,dynamic,"concrete, glass, steel","gray, blue, green",geometric | open | functional,Create a modern urban space that fosters community interaction and sustainability.
17,api_design,"Title: Urban Design. Author: Peter Shirley, J. C. Moughtin. Subjects: .",innovative,dynamic,"concrete, glass, steel","grey, blue, green",symmetrical | functional | open,Create a sustainable urban space that fosters community interaction.
18,api_design,Title: Urban design. Author: Ronald J. Kasprisin. Subjects: .,innovative,dynamic,"concrete, glass, steel","grey, blue, green",open spaces | vertical structures | integrated nature,Create an urban environment that fosters community interaction and sustainability.
19,api_design,Title: The comprehensive plan : urban design. Author: San Francisco (Calif.). Dept. of City Planning.. Subjects: .,professional,urban,"concrete, glass, steel","gray, blue, green",symmetrical | functional | modular,Create a comprehensive urban design plan that integrates functionality and aesthetics in a modern city layout.
