original_text,emotional_tone,spatial_atmosphere,material_keywords,colour_palette,form_rules
"Title: Urban design. Author: Cliff Moughtin, J C Moughtin. Subjects: .",innovative,dynamic,"concrete, glass, steel","grey, blue, green",functional | modular | open
Title: Wuthering Heights. Author: Emily Brontë. Subjects: .,"dark, passionate, tumultuous","rugged, isolated, stormy","wood, stone, fabric","grey, green, black",asymmetrical | organic | textured
Title: Hans Andersen's Fairy Tales. Author: Hans Christian Andersen. Subjects: .,whimsical,enchanted,"paper, ink, illustration","pastel, gold, blue",storybook layout | ornate borders | illustrative sections
Title: Alice's Adventures in Wonderland. Author: Lewis Carroll. Subjects: .,whimsical,surreal,"paper, fabric, wood","vibrant, pastel, earthy",organic shapes | asymmetry | layering
"Title: The Canterbury Tales. Author: Geoffrey Chaucer, John E. Cunningham. Subjects: .",reflective,medieval,"parchment, ink, quill","earth tones, gold, deep red",narrative structure | character development | allegorical elements
Title: The Great Gatsby. Author: F. Scott Fitzgerald. Subjects: .,nostalgic,opulent,"glass, gold, velvet","green, gold, white",symmetrical | ornate | elegant
Title: The Picture of Dorian Gray. Author: Oscar Wilde. Subjects: .,tragic,opulent,"canvas, marble, velvet","gold, deep red, black",symmetrical | ornate | contrasting
Title: The Sea-Wolf. Author: Jack London. Subjects: .,adventurous,oceanic,"wood, canvas, metal","blue, gray, white",organic shapes | asymmetrical balance | dynamic lines
Title: Urban design. Author: Cliff Moughtin. Subjects: .,inspirational,dynamic,"concrete, glass, steel","gray, blue, green",functional | open | flexible
Title: Urban Design Process 0292. Author: Hamid Shirvani. Subjects: .,innovative,dynamic,"concrete, glass, steel","grey, blue, green",minimalist | functional | sustainable
"Title: A New theory of urban design. Author: Christopher Alexander, Hajo Nais. Subjects: .",innovative,dynamic,"concrete, glass, wood","neutral, green, blue",asymmetrical | open | interconnected
Title: Sustainable Urbanism. Author: Douglas Farr. Subjects: .,inspirational,open and green,"recycled materials, natural elements, sustainable resources","green, blue, brown",organic shapes | modular design | community spaces
Title: [Urban design. Author: Lawrence Diamond. Subjects: .,innovative,dynamic,"concrete, glass, steel","gray, blue, green",geometric shapes | open spaces | functional layouts
Title: Urban design. Author: Jon Lang. Subjects: .,innovative,dynamic,"concrete, glass, steel","grey, blue, green",functional | modular | sustainable
Title: Companion to Urban design. Author: Tridib Banerjee. Subjects: .,informative,contemporary urban environment,"concrete, glass, steel","gray, blue, green",functional | minimalist | integrated
Title: Urban design. Author: . Subjects: .,innovative,dynamic,"concrete, glass, steel","gray, blue, green",geometric | open | functional
Title: Urban design. Author: Peter C. Pran. Subjects: .,innovative,dynamic,"concrete, glass, steel","gray, blue, green",geometric | open | functional
"Title: Urban Design. Author: Peter Shirley, J. C. Moughtin. Subjects: .",innovative,dynamic,"concrete, glass, steel","grey, blue, green",symmetrical | functional | open
Title: Urban design. Author: Ronald J. Kasprisin. Subjects: .,innovative,dynamic,"concrete, glass, steel","grey, blue, green",open spaces | vertical structures | integrated nature
Title: The comprehensive plan : urban design. Author: San Francisco (Calif.). Dept. of City Planning.. Subjects: .,professional,urban,"concrete, glass, steel","gray, blue, green",symmetrical | functional | modular
