original_text,design_prompt,cluster,material_keywords,colour_palette,form_rules
"Title: Urban design. Author: Cliff Moughtin, J C Moughtin. Subjects: .",Create a vibrant urban space that encourages community interaction and sustainable living.,0,"concrete, glass, steel","grey, blue, green",functional | modular | open
Title: Wuthering Heights. Author: Emily Brontë. Subjects: .,Create a design inspired by the contrasting emotions and landscapes of Wuthering Heights.,2,"wood, stone, fabric","grey, green, black",asymmetrical | organic | textured
Title: Hans Andersen's Fairy Tales. Author: Hans Christian Andersen. Subjects: .,Create a whimsical book cover for Hans Andersen's Fairy Tales that captures the enchanted atmosphere of the stories.,1,"paper, ink, illustration","pastel, gold, blue",storybook layout | ornate borders | illustrative sections
Title: Alice's Adventures in Wonderland. Author: Lewis Carroll. Subjects: .,"Create a whimsical design inspired by Alice's Adventures in Wonderland, incorporating surreal spatial elements and a vibrant colour palette.",1,"paper, fabric, wood","vibrant, pastel, earthy",organic shapes | asymmetry | layering
"Title: The Canterbury Tales. Author: Geoffrey Chaucer, John E. Cunningham. Subjects: .",Create a book cover that reflects the medieval setting and narrative depth of The Canterbury Tales,2,"parchment, ink, quill","earth tones, gold, deep red",narrative structure | character development | allegorical elements
Title: The Great Gatsby. Author: F. Scott Fitzgerald. Subjects: .,"Create a design that captures the essence of the Jazz Age, emphasizing luxury and excess",2,"glass, gold, velvet","green, gold, white",symmetrical | ornate | elegant
Title: The Picture of Dorian Gray. Author: Oscar Wilde. Subjects: .,Create a visual representation that captures the themes of beauty and moral decay as depicted in The Picture of Dorian Gray.,1,"canvas, marble, velvet","gold, deep red, black",symmetrical | ornate | contrasting
Title: The Sea-Wolf. Author: Jack London. Subjects: .,"Create a design inspired by the adventurous spirit of the sea, focusing on oceanic elements and the rugged materials associated with maritime life.",1,"wood, canvas, metal","blue, gray, white",organic shapes | asymmetrical balance | dynamic lines
Title: Urban design. Author: Cliff Moughtin. Subjects: .,Create a vibrant urban space that fosters community interaction and sustainability.,0,"concrete, glass, steel","gray, blue, green",functional | open | flexible
Title: Urban Design Process 0292. Author: Hamid Shirvani. Subjects: .,Create an urban space that fosters community interaction while incorporating sustainable materials.,0,"concrete, glass, steel","grey, blue, green",minimalist | functional | sustainable
"Title: A New theory of urban design. Author: Christopher Alexander, Hajo Nais. Subjects: .",Explore new approaches to urban spaces that foster community and connectivity.,2,"concrete, glass, wood","neutral, green, blue",asymmetrical | open | interconnected
Title: Sustainable Urbanism. Author: Douglas Farr. Subjects: .,Create a design that promotes sustainability in urban environments,0,"recycled materials, natural elements, sustainable resources","green, blue, brown",organic shapes | modular design | community spaces
Title: [Urban design. Author: Lawrence Diamond. Subjects: .,Create a modern urban space that promotes community engagement and sustainability.,0,"concrete, glass, steel","gray, blue, green",geometric shapes | open spaces | functional layouts
Title: Urban design. Author: Jon Lang. Subjects: .,Create a vibrant urban space that encourages community interaction and sustainability.,0,"concrete, glass, steel","grey, blue, green",functional | modular | sustainable
Title: Companion to Urban design. Author: Tridib Banerjee. Subjects: .,Create an urban space that enhances community interaction and accessibility.,0,"concrete, glass, steel","gray, blue, green",functional | minimalist | integrated
Title: Urban design. Author: . Subjects: .,Create a sustainable urban space that fosters community interaction.,0,"concrete, glass, steel","gray, blue, green",geometric | open | functional
Title: Urban design. Author: Peter C. Pran. Subjects: .,Create a modern urban space that fosters community interaction and sustainability.,0,"concrete, glass, steel","gray, blue, green",geometric | open | functional
"Title: Urban Design. Author: Peter Shirley, J. C. Moughtin. Subjects: .",Create a sustainable urban space that fosters community interaction.,0,"concrete, glass, steel","grey, blue, green",symmetrical | functional | open
Title: Urban design. Author: Ronald J. Kasprisin. Subjects: .,Create an urban environment that fosters community interaction and sustainability.,0,"concrete, glass, steel","grey, blue, green",open spaces | vertical structures | integrated nature
Title: The comprehensive plan : urban design. Author: San Francisco (Calif.). Dept. of City Planning.. Subjects: .,Create a comprehensive urban design plan that integrates functionality and aesthetics in a modern city layout.,2,"concrete, glass, steel","gray, blue, green",symmetrical | functional | modular
